03-12 12:44:32.129 24690 24700 F libc    : Fatal signal 11 (SIGSEGV), code 2 (SEGV_ACCERR), fault addr 0x7c7428afe0 in tid 24700 (binder:24690_1), pid 24690 (com.prology)
03-12 12:44:32.992 30455 30455 F DEBUG   : Cmdline: com.prology
03-12 14:01:58.132  2006  2074 W ActivityManager: ProcessRecord{8f175c0 0:com.prology/u0a791}: ART verification disabled
03-12 14:01:58.138  2006  4065 I AppsFilter: interaction: PackageSetting{9a11621 org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{a582dec com.prology/10791} BLOCKED
03-12 14:01:58.176  2006  2111 I ActivityManager: Start proc 22054:com.prology/u0a791 for next-top-activity {com.prology/com.ryanheise.audioservice.AudioServiceActivity}
03-12 14:01:58.263  2006  2071 V WindowManager: Sent Transition (#631) createdAt=03-12 14:01:58.107 via request=TransitionRequestInfo { type = OPEN, triggerTask = TaskInfo{userId=0 taskId=966 effectiveUid=10791 displayId=0 isRunning=true baseIntent=Intent { flg=0x10000000 cmp=com.prology/com.ryanheise.audioservice.AudioServiceActivity } baseActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} topActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} origActivity=null realActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} numActivities=1 lastActiveTime=62962731 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{RemoteToken{f155311 Task{412c890 #966 type=standard A=10791:com.prology}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=Rect(0, 102 - 0, 0) topActivityInfo=ActivityInfo{b89bc76 com.ryanheise.audioservice.AudioServiceActivity} launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=false isVisible=false isVisibleRequested=false isTopActivityNoDisplay=false isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=false isActivityStackTransparent=false lastNonFullscreenBounds=Rect(280, 680 - 801, 1760) capturedLink=null capturedLinkTimestamp=0 requestedVisibleTypes=-9 topActivityRequestOpenInBrowserEducationTimestamp=0 appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false eligibleForLetterboxEducation= false isLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false eligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 topActivityLetterboxAppWidth=-1 topActivityLetterboxAppHeight=-1 isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false hasMinAspectRatioOverride=false topActivityLetterboxBounds=null cameraCompatTaskInfo=CameraCompatTaskInfo { freeformCameraCompatMode=inactive}} topActivityMainWindowFrame=null}, pipChange = null, remoteTransition = null, displayChange = null, flags = 0, debugId = 631 }
03-12 14:01:58.268  2006  2071 V WindowManager:         {WCT{RemoteToken{f155311 Task{412c890 #966 type=standard A=10791:com.prology}}} m=OPEN f=NONE leash=Surface(name=Task=966)/@0xfd60852 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) epz=Point(1080, 2400) d=0 taskParent=-1},
03-12 14:01:58.984  2006  2321 I AppsFilter: interaction: PackageSetting{a582dec com.prology/10791} -> PackageSetting{355c672 ru.maximoff.apktool/10670} BLOCKED
03-12 14:01:59.153  2006  2321 I MediaSessionStack: addSession to bottom of stack | record: com.prology/media-session/25 (userId=0)
03-12 14:01:59.729  2006  2876 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/25 (userId=0)
03-12 14:01:59.957  2006  2071 V WindowManager: Sent Transition (#632) createdAt=03-12 14:01:59.491 via request=TransitionRequestInfo { type = OPEN, triggerTask = TaskInfo{userId=0 taskId=966 effectiveUid=10791 displayId=0 isRunning=true baseIntent=Intent { flg=0x10000000 cmp=com.prology/com.ryanheise.audioservice.AudioServiceActivity } baseActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} topActivity=ComponentInfo{com.android.permissioncontroller/com.android.permissioncontroller.permission.ui.GrantPermissionsActivity} origActivity=null realActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} numActivities=2 lastActiveTime=62964114 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{RemoteToken{f155311 Task{412c890 #966 type=standard A=10791:com.prology}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=Rect(0, 0 - 0, 0) topActivityInfo=ActivityInfo{57d89f9 com.android.permissioncontroller.permission.ui.GrantPermissionsActivity} launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=true isVisible=true isVisibleRequested=true isTopActivityNoDisplay=false isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=true isActivityStackTransparent=false lastNonFullscreenBounds=Rect(280, 680 - 801, 1760) capturedLink=null capturedLinkTimestamp=0 requestedVisibleTypes=-9 topActivityRequestOpenInBrowserEducationTimestamp=0 appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false eligibleForLetterboxEducation= false isLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false eligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 topActivityLetterboxAppWidth=-1 topActivityLetterboxAppHeight=-1 isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false hasMinAspectRatioOverride=false topActivityLetterboxBounds=null cameraCompatTaskInfo=CameraCompatTaskInfo { freeformCameraCompatMode=inactive}} topActivityMainWindowFrame=null}, pipChange = null, remoteTransition = null, displayChange = null, flags = 0, debugId = 632 }
03-12 14:02:04.138  2006  4065 W PackageConfigPersister: App-specific configuration not found for packageName: com.prology and userId: 0
03-12 14:02:16.391  2006  4065 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/25 (userId=0)
03-12 14:02:16.959  2006  2321 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/25 (userId=0)
03-12 14:02:46.055  2006  2071 V WindowManager:         {WCT{RemoteToken{f155311 Task{412c890 #966 type=standard A=10791:com.prology}}} m=TO_BACK f=NONE leash=Surface(name=Task=966)/@0xfd60852 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) epz=Point(1080, 2400) d=0 taskParent=-1},
03-12 14:02:47.658  2006  2071 V WindowManager:         {WCT{RemoteToken{f155311 Task{412c890 #966 type=standard A=10791:com.prology}}} m=TO_BACK f=NONE leash=Surface(name=Task=966)/@0xfd60852 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) epz=Point(1080, 2400) d=0 taskParent=-1}
03-12 14:03:57.961  2006  2346 D ActivityManager: freezing 22054 com.prology
03-12 14:05:22.170  2006  2857 I ActivityManager: Force stopping com.prology appid=10791 user=0: from pid 23308
03-12 14:05:22.205  2006  2857 I ActivityManager: Killing 22054:com.prology/u0a791 (adj 900): stop com.prology due to from pid 23308
03-12 14:05:22.212  2006  2857 W ActivityTaskManager: Force removing ActivityRecord{101513043 u0 com.prology/com.ryanheise.audioservice.AudioServiceActivity t966 f}}: app died, no saved state
03-12 14:05:22.213  2006  2333 W UsageStatsService: Unexpected activity event reported! (com.prology/com.ryanheise.audioservice.AudioServiceActivity event : 23 instanceId : 75199881)
03-12 14:05:22.238  2006  2857 I AppsFilter: interaction: PackageSetting{9a11621 org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{bbca8f0 com.prology/10791} BLOCKED
03-12 14:05:22.240  2006  2857 W ActivityManager: Invalid packageName: com.prology
03-12 14:05:22.341  2006  4065 I MediaSessionStack: removeSession | record: com.prology/media-session/25 (userId=0)
03-12 14:05:22.341  2006  2857 V ActivityManager: Got obituary of 22054:com.prology
03-12 14:05:24.363  2006  4894 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.prology/com.ryanheise.audioservice.AudioServiceActivity} with LAUNCH_SINGLE_TOP from uid 0 (BAL_ALLOW_ALLOWLISTED_UID) result code=0
03-12 14:05:24.373  2006  4894 I AppsFilter: interaction: PackageSetting{9a11621 org.woheller69.audio_analyzer_for_android/10799} -> PackageSetting{50f7b7 com.prology/10791} BLOCKED
03-12 14:05:24.408  2006  2074 W ActivityManager: ProcessRecord{9e3c68d 0:com.prology/u0a791}: ART verification disabled
03-12 14:05:24.424  2006  2111 I ActivityManager: Start proc 23343:com.prology/u0a791 for next-top-activity {com.prology/com.ryanheise.audioservice.AudioServiceActivity}
03-12 14:05:24.461  2006  2071 V WindowManager: Sent Transition (#636) createdAt=03-12 14:05:24.345 via request=TransitionRequestInfo { type = OPEN, triggerTask = TaskInfo{userId=0 taskId=967 effectiveUid=10791 displayId=0 isRunning=true baseIntent=Intent { flg=0x10000000 cmp=com.prology/com.ryanheise.audioservice.AudioServiceActivity } baseActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} topActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} origActivity=null realActivity=ComponentInfo{com.prology/com.ryanheise.audioservice.AudioServiceActivity} numActivities=1 lastActiveTime=63168969 supportsMultiWindow=true resizeMode=1 isResizeable=true minWidth=-1 minHeight=-1 defaultMinSize=220 token=WCT{RemoteToken{5868aec Task{804dea #967 type=standard A=10791:com.prology}}} topActivityType=1 pictureInPictureParams=null shouldDockBigOverlays=false launchIntoPipHostTaskId=-1 lastParentTaskIdBeforePip=-1 displayCutoutSafeInsets=Rect(0, 102 - 0, 0) topActivityInfo=ActivityInfo{7253eb5 com.ryanheise.audioservice.AudioServiceActivity} launchCookies=[] positionInParent=Point(0, 0) parentTaskId=-1 isFocused=false isVisible=false isVisibleRequested=false isTopActivityNoDisplay=false isSleeping=false locusId=null displayAreaFeatureId=1 isTopActivityTransparent=false isActivityStackTransparent=false lastNonFullscreenBounds=Rect(280, 680 - 801, 1760) capturedLink=null capturedLinkTimestamp=0 requestedVisibleTypes=-9 topActivityRequestOpenInBrowserEducationTimestamp=0 appCompatTaskInfo=AppCompatTaskInfo { topActivityInSizeCompat=false eligibleForLetterboxEducation= false isLetterboxEducationEnabled= false isLetterboxDoubleTapEnabled= false eligibleForUserAspectRatioButton= false topActivityBoundsLetterboxed= false isFromLetterboxDoubleTap= false topActivityLetterboxVerticalPosition= -1 topActivityLetterboxHorizontalPosition= -1 topActivityLetterboxWidth=-1 topActivityLetterboxHeight=-1 topActivityLetterboxAppWidth=-1 topActivityLetterboxAppHeight=-1 isUserFullscreenOverrideEnabled=false isSystemFullscreenOverrideEnabled=false hasMinAspectRatioOverride=false topActivityLetterboxBounds=null cameraCompatTaskInfo=CameraCompatTaskInfo { freeformCameraCompatMode=inactive}} topActivityMainWindowFrame=null}, pipChange = null, remoteTransition = null, displayChange = null, flags = 0, debugId = 636 }
03-12 14:05:24.464  2006  2071 V WindowManager:         {WCT{RemoteToken{5868aec Task{804dea #967 type=standard A=10791:com.prology}}} m=OPEN f=NONE leash=Surface(name=Task=967)/@0x731adf2 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) epz=Point(1080, 2400) d=0 taskParent=-1},
03-12 14:05:25.174  2006  4065 I AppsFilter: interaction: PackageSetting{50f7b7 com.prology/10791} -> PackageSetting{355c672 ru.maximoff.apktool/10670} BLOCKED
03-12 14:05:25.188  2006  4065 I MediaSessionStack: addSession to bottom of stack | record: com.prology/media-session/26 (userId=0)
03-12 14:05:25.442  2006  4065 W PackageConfigPersister: App-specific configuration not found for packageName: com.prology and userId: 0
03-12 14:05:25.508  2006  4065 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/26 (userId=0)
03-12 14:05:32.470  2006  4894 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/26 (userId=0)
03-12 14:05:32.861  2006  2043 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/26 (userId=0)
03-12 14:06:05.010  2006  2043 I MediaSessionStack: onPlaybackStateChanged - Pushing session to top | record: com.prology/media-session/26 (userId=0)
03-12 14:06:05.013  2006  2043 I ActivityManager: Background started FGS: Allowed [callingPackage: com.prology; callingUid: 10791; uidState: TOP ; uidBFSL: [BFSL]; intent: Intent { cmp=com.prology/com.ryanheise.audioservice.AudioService }; code:PROC_STATE_TOP; tempAllowListReason:<null>; targetSdkVersion:35; callerTargetSdkVersion:35; startForegroundCount:0; bindFromPackage:null: isBindService:false]
03-12 14:06:05.029  2006  4894 I ActivityManager: Background started FGS: Allowed [callingPackage: com.prology; callingUid: 10791; uidState: TOP ; uidBFSL: [BFSL]; intent: Intent { act=android.media.browse.MediaBrowserService cmp=com.prology/com.ryanheise.audioservice.AudioService }; code:PROC_STATE_TOP; tempAllowListReason:<null>; targetSdkVersion:35; callerTargetSdkVersion:35; startForegroundCount:0; bindFromPackage:null: isBindService:false]; startForegroundDelayMs:39995
03-12 14:06:05.192  2006  2356 W ActivityManager: pid 2698 com.android.bluetooth sent binder code 4 with flags 0 to frozen apps and got error -32
03-12 14:06:05.511  2006  2043 W ActivityManager: Permission Denial: Accessing service com.prology/com.ryanheise.audioservice.AudioService from pid=2499, uid=10591 that is not exported from uid 10791
03-12 14:06:06.326  2006  2071 V WindowManager:         {WCT{RemoteToken{5868aec Task{804dea #967 type=standard A=10791:com.prology}}} m=TO_BACK f=NONE leash=Surface(name=Task=967)/@0x731adf2 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) epz=Point(1080, 2400) d=0 taskParent=-1},
03-12 14:06:07.749  2006  2071 V WindowManager:         {WCT{RemoteToken{5868aec Task{804dea #967 type=standard A=10791:com.prology}}} m=TO_BACK f=NONE leash=Surface(name=Task=967)/@0x731adf2 sb=Rect(0, 0 - 1080, 2400) eb=Rect(0, 0 - 1080, 2400) epz=Point(1080, 2400) d=0 taskParent=-1}
03-12 14:07:41.499  1033  1033 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:07:41.500  1033  1033 I vendor.qti.bluetooth@1.0-ibs_handler: DeviceWakeUp: Writing IBS_WAKE_IND
03-12 14:07:41.501  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_ACK: 0xFC
03-12 14:07:41.501  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Signal wack_cond_
03-12 14:07:41.502  1033  1033 D vendor.qti.bluetooth@1.0-ibs_handler: DeviceWakeUp: Unblocked from waiting for FC
03-12 14:07:41.503  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:41.503  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:41.505  2698  2941 W bluetooth: system/gd/hci/hci_layer.cc:204 on_command_status: Received UNEXPECTED command status:UNSUPPORTED_REMOTE_OR_LMP_FEATURE(0x1a) opcode:SNIFF_MODE(0x0803)
03-12 14:07:41.584  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:42.503  1033  3106 I vendor.qti.bluetooth@1.0-ibs_handler: DeviceSleep: TX Awake, Sending SLEEP_IND
03-12 14:07:42.503  1033  3106 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:42.588  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:42.589  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:07:42.589  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:42.670  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:42.670  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:42.821  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:07:45.713  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:45.714  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:07:45.715  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:07:45.716  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:45.796  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:45.797  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:45.948  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:07:48.863  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:48.864  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:07:48.866  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:07:48.866  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:48.948  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:48.949  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:49.100  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:07:51.968  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:51.969  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:07:51.970  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:07:51.971  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:52.052  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:52.053  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:52.204  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:07:55.073  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:55.074  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:07:55.075  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:07:55.076  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:55.157  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:55.158  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:55.308  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:07:58.178  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:07:58.179  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:07:58.181  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:07:58.182  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:07:58.263  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:07:58.263  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:07:58.414  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:08:01.328  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:08:01.329  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:08:01.331  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:08:01.331  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:08:01.412  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:08:01.413  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:08:01.564  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
03-12 14:08:04.433  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_WAKE_IND: 0xFD
03-12 14:08:04.435  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK ON
03-12 14:08:04.436  1033  3101 D vendor.qti.bluetooth@1.0-wake_lock: Acquire wakelock is acquired 
03-12 14:08:04.437  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Writing IBS_WAKE_ACK
03-12 14:08:04.518  1033  3101 I vendor.qti.bluetooth@1.0-ibs_handler: ProcessIbsCmd: Received IBS_SLEEP_IND: 0xFE
03-12 14:08:04.518  1033  3101 D vendor.qti.bluetooth@1.0-ibs_handler: SerialClockVote: vote for UART CLK OFF
03-12 14:08:04.669  1033  2948 D vendor.qti.bluetooth@1.0-wake_lock: Release wakelock is released 
